date,home_team,away_team,predicted_winner,actual_winner,correct,predicted_probability,actual_result,confidence_value,favorite,favorite_won,predicted_is_favorite,predicted_is_underdog,home_win_probability,away_win_probability,confidence,predicted_home_score,predicted_away_score,actual_home_score,actual_away_score,predicted_total,actual_total,score_error,total_points_error,recent_form_edge,home_advantage_edge,offense_edge,defense_edge,fatigue_edge,injury_edge,elo_difference
2026-05-05,Detroit Pistons,Cleveland Cavaliers,Detroit Pistons,Detroit Pistons,True,0.7,1,0.7,Detroit Pistons,True,True,False,0.7,0.3,Medium,114,107,111,101,221,212,4.5,9,6.0,4.67,-3.456,6.336,0.0,0.0,0.408
2026-05-05,Oklahoma City Thunder,Los Angeles Lakers,Oklahoma City Thunder,Oklahoma City Thunder,True,0.72,1,0.72,Oklahoma City Thunder,True,True,False,0.72,0.28,Medium,118,103,108,90,221,198,11.5,23,6.0,4.795,11.424,-7.752,0.0,-1.0,3.315
2026-05-06,New York Knicks,Philadelphia 76ers,New York Knicks,New York Knicks,True,0.72,1,0.72,New York Knicks,True,True,False,0.72,0.28,Medium,117,101,108,102,218,210,5.0,8,6.0,6.184,4.516,2.0,0.0,0.0,7.932
2026-05-06,San Antonio Spurs,Minnesota Timberwolves,San Antonio Spurs,San Antonio Spurs,True,0.7,1,0.7,San Antonio Spurs,True,True,False,0.7,0.3,Medium,117,110,133,95,227,228,15.5,1,-3.6,5.678,-2.144,4.52,0.0,0.0,10.329
2026-05-07,Detroit Pistons,Cleveland Cavaliers,Detroit Pistons,Detroit Pistons,True,0.8,1,0.8,Detroit Pistons,True,True,False,0.8,0.2,Medium,113,105,107,97,218,204,7.0,14,12.0,5.266,-3.796,6.676,0.0,0.0,1.356
2026-05-07,Oklahoma City Thunder,Los Angeles Lakers,Oklahoma City Thunder,Oklahoma City Thunder,True,0.8,1,0.8,Oklahoma City Thunder,True,True,False,0.8,0.2,Medium,115,104,125,107,219,232,6.5,13,13.2,6.17,9.8,-7.676,0.0,-1.0,5.277
2026-05-08,Philadelphia 76ers,New York Knicks,New York Knicks,New York Knicks,True,0.72,1,0.72,New York Knicks,True,True,False,0.28,0.72,Medium,103,115,94,108,218,202,8.0,16,-12.0,0.829,-4.176,-2.952,0.0,0.0,-7.863
2026-05-08,Minnesota Timberwolves,San Antonio Spurs,San Antonio Spurs,San Antonio Spurs,True,0.72,1,0.72,San Antonio Spurs,True,True,False,0.28,0.72,Medium,110,117,108,115,227,223,2.0,4,-3.6,-1.164,0.036,-4.248,0.0,0.0,-11.481
2026-05-09,Cleveland Cavaliers,Detroit Pistons,Detroit Pistons,Cleveland Cavaliers,False,0.72,0,0.72,Detroit Pistons,False,True,False,0.28,0.72,Medium,107,110,116,109,217,225,5.0,8,-15.6,4.519,3.884,-6.044,0.0,0.0,-2.259
2026-05-09,Los Angeles Lakers,Oklahoma City Thunder,Oklahoma City Thunder,Oklahoma City Thunder,True,0.72,1,0.72,Oklahoma City Thunder,True,True,False,0.28,0.72,Medium,105,113,108,131,218,239,10.5,21,-19.2,2.067,-8.916,6.18,0.0,1.0,-6.27
2026-05-10,Philadelphia 76ers,New York Knicks,New York Knicks,New York Knicks,True,0.72,1,0.72,New York Knicks,True,True,False,0.28,0.72,Medium,100,116,114,144,216,258,21.0,42,-18.0,0.259,-5.584,-2.66,0.0,0.0,-8.844
2026-05-10,Minnesota Timberwolves,San Antonio Spurs,San Antonio Spurs,Minnesota Timberwolves,False,0.72,0,0.72,San Antonio Spurs,False,True,False,0.28,0.72,Medium,108,117,114,109,225,223,7.0,2,-9.6,-1.543,-1.96,-2.504,0.0,0.0,-11.466
2026-05-11,Cleveland Cavaliers,Detroit Pistons,Detroit Pistons,Cleveland Cavaliers,False,0.6363,0,0.6363,Detroit Pistons,False,True,False,0.3637,0.6363,Low,107,107,112,103,214,215,4.5,1,-9.6,5.137,4.356,-6.048,0.0,0.0,-1.398
2026-05-11,Los Angeles Lakers,Oklahoma City Thunder,Oklahoma City Thunder,Oklahoma City Thunder,True,0.72,1,0.72,Oklahoma City Thunder,True,True,False,0.28,0.72,Medium,106,116,110,115,222,225,2.5,3,-21.6,0.892,-8.376,4.272,0.0,1.0,-8.262
2026-05-12,San Antonio Spurs,Minnesota Timberwolves,San Antonio Spurs,San Antonio Spurs,True,0.7,1,0.7,San Antonio Spurs,True,True,False,0.7,0.3,Medium,116,106,126,97,222,223,9.5,1,0.0,6.354,1.512,2.124,0.0,0.0,10.506
2026-05-13,Detroit Pistons,Cleveland Cavaliers,Detroit Pistons,Cleveland Cavaliers,False,0.693,0,0.693,Detroit Pistons,False,True,False,0.693,0.307,Medium,109,104,113,117,213,230,8.5,17,2.4,6.278,-3.364,5.272,0.0,0.0,0.408
2026-05-15,Cleveland Cavaliers,Detroit Pistons,Cleveland Cavaliers,Detroit Pistons,False,0.6574,0,0.6574,Cleveland Cavaliers,False,True,False,0.6574,0.3426,Low,109,107,94,115,216,209,11.5,7,3.6,6.082,2.272,-3.712,0.0,0.0,0.555
2026-05-15,Minnesota Timberwolves,San Antonio Spurs,San Antonio Spurs,San Antonio Spurs,True,0.7,1,0.7,San Antonio Spurs,True,True,False,0.3,0.7,Medium,106,115,109,139,221,248,13.5,27,-6.0,-0.409,-1.688,-4.0,0.0,0.0,-10.629
2026-05-17,Detroit Pistons,Cleveland Cavaliers,Detroit Pistons,Cleveland Cavaliers,False,0.6366,0,0.6366,Detroit Pistons,False,True,False,0.6366,0.3634,Low,110,104,94,125,214,219,18.5,5,-1.2,5.825,-1.36,3.808,0.0,0.0,0.498
2026-05-18,Oklahoma City Thunder,San Antonio Spurs,Oklahoma City Thunder,San Antonio Spurs,False,0.6014,0,0.6014,Oklahoma City Thunder,False,True,False,0.6014,0.3986,Low,115,112,115,122,227,237,5.0,10,6.0,2.287,1.38,-3.72,0.9,-1.0,-0.294
2026-05-19,New York Knicks,Cleveland Cavaliers,New York Knicks,New York Knicks,True,0.72,1,0.72,New York Knicks,True,True,False,0.72,0.28,Medium,121,103,115,104,224,219,3.5,5,8.4,5.45,3.62,2.464,1.8,0.0,3.705
2026-05-20,Oklahoma City Thunder,San Antonio Spurs,San Antonio Spurs,Oklahoma City Thunder,False,0.5534,0,0.5534,San Antonio Spurs,False,True,False,0.4466,0.5534,Low,114,115,122,113,229,235,5.0,6,0.0,1.64,0.584,-2.816,0.0,-1.0,-1.305
2026-05-21,New York Knicks,Cleveland Cavaliers,New York Knicks,New York Knicks,True,0.72,1,0.72,New York Knicks,True,True,False,0.72,0.28,Medium,119,103,109,93,222,202,10.0,20,14.4,6.107,4.928,1.732,0.0,0.0,4.62
2026-05-22,San Antonio Spurs,Oklahoma City Thunder,Oklahoma City Thunder,Oklahoma City Thunder,True,0.6096,1,0.6096,Oklahoma City Thunder,True,True,False,0.3904,0.6096,Low,115,114,108,123,229,231,8.0,2,-8.4,2.043,-1.36,1.36,0.0,1.0,-0.66
2026-05-23,Cleveland Cavaliers,New York Knicks,New York Knicks,New York Knicks,True,0.72,1,0.72,New York Knicks,True,True,False,0.28,0.72,Medium,103,118,108,121,221,229,4.0,8,-20.4,3.065,-5.792,-1.984,0.0,0.0,-5.601
2026-05-24,San Antonio Spurs,Oklahoma City Thunder,Oklahoma City Thunder,San Antonio Spurs,False,0.7037,0,0.7037,Oklahoma City Thunder,False,True,False,0.2963,0.7037,Medium,115,116,103,82,231,185,23.0,46,-10.8,1.32,-1.784,1.208,0.0,1.0,-2.619
2026-05-25,Cleveland Cavaliers,New York Knicks,New York Knicks,New York Knicks,True,0.72,1,0.72,New York Knicks,True,True,False,0.28,0.72,Medium,102,120,93,130,222,223,9.5,1,-28.8,2.523,-6.46,-2.72,0.0,0.0,-6.477
2026-05-26,Oklahoma City Thunder,San Antonio Spurs,Oklahoma City Thunder,Oklahoma City Thunder,True,0.6352,1,0.6352,Oklahoma City Thunder,True,True,False,0.6352,0.3648,Low,115,113,127,114,228,241,6.5,13,4.8,2.81,0.524,-1.244,0.0,-1.0,1.599
