game_id,date,home_team,away_team,home_score,away_score
0022500197,2025-11-09,Sacramento Kings,Minnesota Timberwolves,117,144
0022500198,2025-11-10,Charlotte Hornets,Los Angeles Lakers,111,121
0022500199,2025-11-10,Detroit Pistons,Washington Wizards,137,135
0022500200,2025-11-10,Orlando Magic,Portland Trail Blazers,115,112
0022500201,2025-11-10,Miami Heat,Cleveland Cavaliers,140,138
0022500202,2025-11-10,Chicago Bulls,San Antonio Spurs,117,121
0022500203,2025-11-10,Dallas Mavericks,Milwaukee Bucks,114,116
0022500204,2025-11-10,Phoenix Suns,New Orleans Pelicans,121,98
0022500205,2025-11-10,Utah Jazz,Minnesota Timberwolves,113,120
0022500206,2025-11-10,LA Clippers,Atlanta Hawks,102,105
0022500207,2025-11-11,Brooklyn Nets,Toronto Raptors,109,119
0022500208,2025-11-11,New York Knicks,Memphis Grizzlies,133,120
0022500209,2025-11-11,Philadelphia 76ers,Boston Celtics,102,100
0022500210,2025-11-11,Oklahoma City Thunder,Golden State Warriors,126,102
0022500211,2025-11-11,Utah Jazz,Indiana Pacers,152,128
0022500212,2025-11-11,Sacramento Kings,Denver Nuggets,108,122
0022500213,2025-11-12,Charlotte Hornets,Milwaukee Bucks,111,100
0022500214,2025-11-12,Detroit Pistons,Chicago Bulls,124,113
0022500215,2025-11-12,New York Knicks,Orlando Magic,107,124
0022500216,2025-11-12,Boston Celtics,Memphis Grizzlies,131,95
0022500217,2025-11-12,Miami Heat,Cleveland Cavaliers,116,130
0022500218,2025-11-12,Houston Rockets,Washington Wizards,135,112
0022500219,2025-11-12,New Orleans Pelicans,Portland Trail Blazers,117,125
0022500220,2025-11-12,San Antonio Spurs,Golden State Warriors,120,125
0022500221,2025-11-12,Dallas Mavericks,Phoenix Suns,114,123
0022500222,2025-11-12,Oklahoma City Thunder,Los Angeles Lakers,121,92
0022500223,2025-11-12,Sacramento Kings,Atlanta Hawks,100,133
0022500224,2025-11-12,LA Clippers,Denver Nuggets,116,130
0022500225,2025-11-13,Cleveland Cavaliers,Toronto Raptors,113,126
0022500226,2025-11-13,Phoenix Suns,Indiana Pacers,133,98
